"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
127,127,13,7,21,"C13Cl7H21","CPs"
128,128,14,7,23,"C14Cl7H23","CPs"
129,129,15,7,25,"C15Cl7H25","CPs"
130,130,16,7,27,"C16Cl7H27","CPs"
131,131,17,7,29,"C17Cl7H29","CPs"
132,132,18,7,31,"C18Cl7H31","CPs"
133,133,19,7,33,"C19Cl7H33","CPs"
134,134,20,7,35,"C20Cl7H35","CPs"
135,135,21,7,37,"C21Cl7H37","CPs"
136,136,22,7,39,"C22Cl7H39","CPs"
137,137,23,7,41,"C23Cl7H41","CPs"
138,138,24,7,43,"C24Cl7H43","CPs"
139,139,25,7,45,"C25Cl7H45","CPs"
140,140,26,7,47,"C26Cl7H47","CPs"
141,141,27,7,49,"C27Cl7H49","CPs"
142,142,28,7,51,"C28Cl7H51","CPs"
143,143,29,7,53,"C29Cl7H53","CPs"
144,144,30,7,55,"C30Cl7H55","CPs"
145,145,31,7,57,"C31Cl7H57","CPs"
146,146,32,7,59,"C32Cl7H59","CPs"
147,147,33,7,61,"C33Cl7H61","CPs"
148,148,34,7,63,"C34Cl7H63","CPs"
149,149,35,7,65,"C35Cl7H65","CPs"
150,150,36,7,67,"C36Cl7H67","CPs"
151,151,7,8,8,"C7Cl8H8","CPs"
152,152,8,8,10,"C8Cl8H10","CPs"
153,153,9,8,12,"C9Cl8H12","CPs"
154,154,10,8,14,"C10Cl8H14","CPs"
155,155,11,8,16,"C11Cl8H16","CPs"
156,156,12,8,18,"C12Cl8H18","CPs"
157,157,13,8,20,"C13Cl8H20","CPs"
158,158,14,8,22,"C14Cl8H22","CPs"
159,159,15,8,24,"C15Cl8H24","CPs"
160,160,16,8,26,"C16Cl8H26","CPs"
161,161,17,8,28,"C17Cl8H28","CPs"
162,162,18,8,30,"C18Cl8H30","CPs"
163,163,19,8,32,"C19Cl8H32","CPs"
164,164,20,8,34,"C20Cl8H34","CPs"
165,165,21,8,36,"C21Cl8H36","CPs"
166,166,22,8,38,"C22Cl8H38","CPs"
167,167,23,8,40,"C23Cl8H40","CPs"
168,168,24,8,42,"C24Cl8H42","CPs"
169,169,25,8,44,"C25Cl8H44","CPs"
170,170,26,8,46,"C26Cl8H46","CPs"
171,171,27,8,48,"C27Cl8H48","CPs"
172,172,28,8,50,"C28Cl8H50","CPs"
173,173,29,8,52,"C29Cl8H52","CPs"
174,174,30,8,54,"C30Cl8H54","CPs"
175,175,31,8,56,"C31Cl8H56","CPs"
176,176,32,8,58,"C32Cl8H58","CPs"
177,177,33,8,60,"C33Cl8H60","CPs"
178,178,34,8,62,"C34Cl8H62","CPs"
179,179,35,8,64,"C35Cl8H64","CPs"
180,180,36,8,66,"C36Cl8H66","CPs"
181,181,7,9,7,"C7Cl9H7","CPs"
182,182,8,9,9,"C8Cl9H9","CPs"
183,183,9,9,11,"C9Cl9H11","CPs"
184,184,10,9,13,"C10Cl9H13","CPs"
185,185,11,9,15,"C11Cl9H15","CPs"
186,186,12,9,17,"C12Cl9H17","CPs"
187,187,13,9,19,"C13Cl9H19","CPs"
188,188,14,9,21,"C14Cl9H21","CPs"
189,189,15,9,23,"C15Cl9H23","CPs"
190,190,16,9,25,"C16Cl9H25","CPs"
191,191,17,9,27,"C17Cl9H27","CPs"
192,192,18,9,29,"C18Cl9H29","CPs"
193,193,19,9,31,"C19Cl9H31","CPs"
