"Carbon Count / Chlorine Count","Cl3","Cl4","Cl5","Cl6","Cl7","Cl8","Cl9","Cl10","Cl11","Cl12","Cl13","Cl14","Cl15","Cl16","Cl17","Cl18","Cl19","Cl20","Cl21","Cl22","Cl23","Cl24","Cl25","Cl26","Cl27","Cl28","Cl29","Cl30"
"C6","0.561229998078207","0.633214797933162","0.686008309731097","0.726382478801466","0.758258451399089","0.784063862734751","0.80538208681943","0.823289891765931","0.838545046302821","0.85169630575256","0.863150827792449","0.873217076098044","0.882133015696111","0.890085164778607","0.897221784967304","0.90366221135597","0.909503579040319","0.914825756051763","0.919695016916287","0.924166816633093","0.92828791199899","0.932098002665917","0.935631014173244","0.938916110885278","0.941978502920285","0.944840094348853","0.94752000793304","0.950035012996022"
"C7","0.522553330812581","0.595893356384919","0.650687501000267","0.693180844279526","0.727097502453435","0.754796075669302","0.777842958885099","0.797319183198639","0.813994893733552","0.828433610559247","0.841057168215375","0.852187612105211","0.862075058491321","0.870916714274901","0.878870164771186","0.88606284846114","0.892598936991439","0.898564413265419","0.904030875181319","0.909058423139594","0.913697878862934","0.917992509478377","0.921979380949137","0.925690430604952","0.929153324513975","0.932392148423368","0.935427968779211","0.938279291460853"
"C8","0.488863721291741","0.562726470302064","0.618825749993489","0.662881715261829","0.698396601332219","0.727634694668141","0.752124900108209","0.772936862702623","0.790841365759026","0.806407894440548","0.82006632215586","0.832147222905514","0.842908978193559","0.852556464010463","0.861254218988333","0.869135906044839","0.876311230147353","0.882871075920338","0.888891377555566","0.894436071546262","0.899559376209713","0.904307570513973","0.908720395984633","0.912832171690856","0.916672688560466","0.920267932349807","0.923640672383336","0.926810944265757"
"C9","0.459255025729059","0.533056999118989","0.589938644916607","0.635120423511548","0.671875492391759","0.702360220970177","0.728053059932555","0.750001533723837","0.768968580467078","0.785523049273165","0.800097729175054","0.813027733284079","0.824576582611163","0.83495435502982","0.844330579627568","0.852843569650576","0.860607291138428","0.867716494384244","0.874250600069497","0.880276678957746","0.885851762582311","0.891024653847679","0.895837359417236","0.900326232958224","0.904522895121869","0.908454979523605","0.912146741944351","0.915619561144136"
"C10","0.433028090986914","0.506359450795738","0.563628190382293","0.609590934043544","0.647294932590779","0.678782629306722","0.70547427804836","0.728388098689489","0.748273130984551","0.765692671857722","0.781078488890067","0.794767092899915","0.807024634271602","0.818064378872281","0.828059221730041","0.837150808043881","0.845456288242976","0.853073393426968","0.860084299034987","0.86655860135789","0.872555635789425","0.878126300617097","0.883314505169771","0.888158329591957","0.892690961087973","0.896941455334324","0.900935359999535","0.904695228652386"
"C11","0.409634843845853","0.482208586870959","0.539564359878485","0.586034516302916","0.624449454043604","0.656736581582636","0.684253822211566","0.707985476282936","0.72866245075335","0.746838869087416","0.762942471672126","0.777308703570384","0.790204334081206","0.801844176015234","0.8124031473365","0.822025121775274","0.830829523348583","0.838916308390585","0.846369777080211","0.853261523213915","0.859652741277416","0.865596048463173","0.871136936583531","0.876314938716098","0.881164573898004","0.885716117618215","0.889996234467177","0.894028500881168"
"C12","0.388639574038837","0.460256602825152","0.517471180388938","0.564230944294668","0.603161606946123","0.636077543940134","0.664272697623298","0.688694691908924","0.710053429297899","0.728891235397967","0.745629550426582","0.760600833313821","0.774070868237082","0.786254681159955","0.797328104640601","0.80743631851734","0.816700250528928","0.825221437406187","0.833085761800266","0.840366357090937","0.847125888513475","0.853418361433376","0.859290567303279","0.864783249260911","0.869932048801935","0.874768280043721","0.879319567133423","0.883610372214483"
"C13","0.369691543104785","0.440216270071993","0.497116101238992","0.543991590657926","0.583277341253169","0.616678614347349","0.645425414352124","0.670427272057848","0.692371234818744","0.711785974197784","0.729084934648133","0.744596104371209","0.758583009532217","0.771259809106508","0.782802337841083","0.793356311907729","0.803043512822979","0.811966507853044","0.820212295658884","0.827855152233597","0.834958874574569","0.841578565719756","0.847762066920869","0.85355111573683","0.858982289349492","0.864087778179251","0.868896024380475","0.873432251971445"
"C14","0.352505233439473","0.421848298340141","0.478301777081395","0.525153955592967","0.564662272707685","0.598427913514988","0.6276181243373","0.653103887601213","0.675548308434713","0.695465140168668","0.713258591210556","0.729251044534706","0.743702765585006","0.756826175900552","0.768796363847972","0.779758941077988","0.789835995120984","0.799130655484142","0.807730635942728","0.815711011194009","0.823136414227964","0.830062790672991","0.836538810936519","0.842607015564634","0.848304750825994","0.853664938016752","0.85871670997235","0.863485940780675"
"C15","0.336845861735572","0.404951735151308","0.460859648770689","0.507577294474003","0.547198641765705","0.581226425793154","0.610767058512218","0.636653202126949","0.659523501571696","0.679875983471494","0.69810473899166","0.71452569283477","0.729395067673905","0.742922850716287","0.75528277253858","0.766619808428299","0.777055891332908","0.786694314838247","0.795623163713498","0.803918013691733","0.811644075868897","0.818857914593879","0.825608834642825","0.831940009646691","0.837889406381758","0.843490546746181","0.848773139731413","0.853763608550746"
