Nombre de Carbone / Nombre de Chlore;Cl3;Cl4;Cl5;Cl6;Cl7;Cl8;Cl9;Cl10;Cl11;Cl12;Cl13;Cl14;Cl15;Cl16;Cl17;Cl18;Cl19;Cl20;Cl21;Cl22;Cl23;Cl24;Cl25;Cl26;Cl27;Cl28;Cl29;Cl30
C8;0.4888637212917412;0.5627264703020641;0.6188257499934894;0.6628817152618295;0.6983966013322191;0.727634694668141;0.7521249001082091;0.7729368627026232;0.7908413657590264;0.8064078944405477;0.8200663221558597;0.8321472229055136;0.842908978193559;0.8525564640104626;0.8612542189883334;0.8691359060448388;0.8763112301473532;0.8828710759203383;0.8888913775555658;0.894436071546262;0.8995593762097132;0.9043075705139735;0.9087203959846334;0.912832171690856;0.9166726885604659;0.9202679323498073;0.9236406723833364;0.9268109442657575
C9;0.45925502572905913;0.5330569991189892;0.5899386449166069;0.6351204235115478;0.6718754923917588;0.7023602209701766;0.7280530599325552;0.750001533723837;0.7689685804670785;0.7855230492731647;0.8000977291750544;0.8130277332840786;0.8245765826111631;0.8349543550298195;0.8443305796275683;0.8528435696505755;0.860607291138428;0.8677164943842445;0.8742506000694974;0.8802766789577459;0.8858517625823109;0.8910246538476787;0.895837359417236;0.9003262329582236;0.904522895121869;0.9084549795236053;0.9121467419443511;0.9156195611441357
C10;0.4330280909869135;0.5063594507957384;0.563628190382293;0.6095909340435437;0.6472949325907786;0.678782629306722;0.7054742780483605;0.728388098689489;0.7482731309845513;0.7656926718577222;0.7810784888900669;0.794767092899915;0.8070246342716021;0.8180643788722812;0.8280592217300405;0.8371508080438806;0.8454562882429756;0.8530733934269676;0.8600842990349872;0.8665586013578899;0.872555635789425;0.8781263006170967;0.8833145051697705;0.8881583295919566;0.8926909610879733;0.8969414553343242;0.9009353599995346;0.9046952286523857
C11;0.4096348438458525;0.4822085868709589;0.5395643598784855;0.5860345163029161;0.624449454043604;0.6567365815826356;0.6842538222115665;0.7079854762829358;0.7286624507533503;0.7468388690874159;0.7629424716721257;0.7773087035703843;0.7902043340812063;0.8018441760152344;0.8124031473365002;0.8220251217752735;0.8308295233485831;0.8389163083905853;0.846369777080211;0.853261523213915;0.8596527412774163;0.8655960484631731;0.8711369365835309;0.8763149387160978;0.8811645738980037;0.8857161176182152;0.8899962344671771;0.8940285008811677
C12;0.388639574038837;0.4602566028251522;0.5174711803889384;0.5642309442946676;0.6031616069461228;0.6360775439401337;0.6642726976232979;0.6886946919089243;0.7100534292978995;0.7288912353979666;0.7456295504265817;0.7606008333138207;0.7740708682370817;0.7862546811599547;0.7973281046406007;0.8074363185173399;0.8167002505289279;0.825221437406187;0.8330857618002664;0.8403663570909369;0.8471258885134755;0.853418361433376;0.8592905673032787;0.8647832492609107;0.8699320488019346;0.874768280043721;0.8793195671334234;0.8836103722144827
C13;0.36969154310478475;0.4402162700719926;0.49711610123899175;0.5439915906579256;0.583277341253169;0.616678614347349;0.6454254143521242;0.6704272720578477;0.6923712348187439;0.7117859741977836;0.7290849346481326;0.7445961043712089;0.7585830095322172;0.7712598091065078;0.7828023378410828;0.7933563119077294;0.803043512822979;0.8119665078530443;0.8202122956588844;0.8278551522335965;0.834958874574569;0.841578565719756;0.8477620669208689;0.8535511157368303;0.8589822893494923;0.8640877781792514;0.8688960243804753;0.8734322519714454
C14;0.3525052334394726;0.42184829834014065;0.4783017770813946;0.525153955592967;0.5646622727076845;0.598427913514988;0.6276181243372998;0.6531038876012133;0.675548308434713;0.6954651401686682;0.7132585912105563;0.729251044534706;0.7437027655850057;0.7568261759005522;0.7687963638479716;0.7797589410779885;0.7898359951209842;0.7991306554841421;0.8077306359427282;0.815711011194009;0.823136414227964;0.8300627906729909;0.8365388109365186;0.8426070155646339;0.8483047508259937;0.8536649380167521;0.8587167099723497;0.8634859407806746
C15;0.33684586173557185;0.40495173515130806;0.4608596487706891;0.5075772944740033;0.5471986417657045;0.5812264257931543;0.6107670585122181;0.6366532021269493;0.6595235015716961;0.6798759834714944;0.69810473899166;0.7145256928347703;0.7293950676739052;0.7429228507162875;0.7552827725385804;0.7666198084282986;0.7770558913329083;0.7866943148382468;0.7956231637134976;0.8039180136917329;0.8116440758688968;0.8188579145938794;0.8256088346428253;0.8319400096466911;0.8378894063817585;0.8434905467461805;0.8487731397314132;0.8537636085507461
C16;0.32251858941730027;0.389356583660378;0.44464487933095753;0.49113909507648285;0.5307828199102662;0.5649862020371089;0.5947972091169542;0.6210108900503312;0.6442413332795452;0.664970380217708;0.6835814065809949;0.7003832520545471;0.7156274948121902;0.7295211345943653;0.7422360477157357;0.753916133531645;0.7646827842473805;0.7746391197278361;0.7838733008276737;0.7924611469842979;0.8004682227508422;0.8079515148568647;0.814960790577388;0.8215397058956694;0.8277267156264018;0.8335558255953105;0.8390572179541826;0.8442577739123102
C17;0.3093603742516207;0.3749180630125243;0.42953232261925234;0.47573221785394715;0.515323251751577;0.549628855569178;0.5796412134663467;0.6061187960015069;0.6296513484652144;0.6507043362516295;0.6696500440709697;0.6867897817095476;0.7023700284928763;0.7165943627037628;0.7296324063074613;0.7416266213269491;0.7526975366888188;0.7629478127383943;0.7724654342020348;0.7813262421079354;0.7895959590051795;0.7973318219670094;0.8045839092259596;0.8113962254650874;0.8178075954812416;0.8238524045665678;0.8295612154286088;0.8349612850184415
C18;0.2972337384145242;0.36151210009642226;0.4154132870665755;0.4612625580952991;0.5007387465791129;0.5350842969443914;0.565238404133528;0.5919242123299084;0.6157075613984295;0.6370375534652989;0.6562751813699407;0.6737139260996597;0.6895948341988621;0.7041177272605853;0.717449653676068;0.7297313429968528;0.7410821927522871;0.7516041628011971;0.761384846597387;0.7704999154191302;0.7790150800009974;0.7869876771932067;0.7944679626900473;0.8015001714510476;0.808123393102642;0.8143722989180906;0.8202777489273865;0.8258673015996663
C19;0.2860219469855112;0.3490317551164144;0.40219291737512425;0.4476471221293085;0.486957052040561;0.5212896644248329;0.5515339973052916;0.5783792558055308;0.6023679715576011;0.6239330496413626;0.6434241266603852;0.6611266728466058;0.6772760663313963;0.6920681186292755;0.705667053184704;0.7182116281284552;0.729819888044019;0.7405928900116261;0.7506176532752632;0.7599695149298719;0.7687140266433053;0.7769084934570173;0.7846032310613028;0.7918425998567158;0.7986658607066386;0.8051078872501183;0.8111997620629451;0.8169692781790416
